Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
36111562,"Senlin Ascends (The Books of Babel, #1)",Josiah Bancroft,"Bancroft, Josiah",,"=""""","=""""",4,4.17,Orbit,Kindle Edition,383,2017,2013,2021/05/09,2018/01/16,"read-fantasy, year-2021","read-fantasy (#158), year-2021 (#15)",read,,,,1,,,0,,,,,
35412097,When: The Scientific Secrets of Perfect Timing,Daniel H. Pink,"Pink, Daniel H.",,"=""0735210624""","=""9780735210622""",0,3.79,Riverhead Books,Hardcover,272,2018,2018,,2020/01/22,"to-read-culture-nf, currently-reading","to-read-culture-nf (#68), currently-reading (#1)",currently-reading,,,,1,,,0,,,,,
30282601,"The Collapsing Empire (The Interdependency, #1)",John Scalzi,"Scalzi, John",,"=""""","=""""",4,4.10,Tor Books,Kindle Edition,336,2017,2017,2021/04/23,2020/12/14,"read-science-fiction, year-2021","read-science-fiction (#34), year-2021 (#14)",read,,,,1,,,0,,,,,
23534636,Lingo: A Language Spotter's Guide to Europe,Gaston Dorren,"Dorren, Gaston",Alison Edwards,"=""""","=""""",4,3.92,Profile Books,Kindle Edition,304,2014,2014,2021/04/18,2021/03/22,"read-culture-nf, year-2021","read-culture-nf (#76), year-2021 (#13)",read,,,,1,,,0,,,,,
19306508,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.",Ilse Lasch,"=""""","=""""",4,4.35,Ebury Digital,Kindle Edition,160,2013,1946,2021/03/29,2020/01/30,"read-culture-nf, year-2021","read-culture-nf (#75), year-2021 (#12)",read,,,,1,,,0,,,,,
40180098,The Overstory,Richard Powers,"Powers, Richard",,"=""039335668X""","=""9780393356687""",0,4.11,W.W. Norton & Company,Paperback,502,2019,2018,,2021/03/25,to-read,to-read (#172),to-read,,,,0,,,0,,,,,
8444621,Through the Language Glass: Why the World Looks Different in Other Languages,Guy Deutscher,"Deutscher, Guy",,"=""080508195X""","=""9780805081954""",0,3.91,Metropolitan Books,Hardcover,304,2010,2010,,2021/03/24,to-read,to-read (#171),to-read,,,,0,,,0,,,,,
40265869,"The Woman Who Smashed Codes: A True Story of Love, Spies, and the Unlikely Heroine Who Outwitted America's Enemies",Jason Fagone,"Fagone, Jason",,"=""""","=""""",0,4.03,Dey Street Books,Kindle Edition,464,2017,2017,,2021/03/21,to-read,to-read (#170),to-read,,,,0,,,0,,,,,
16344,"Dumb Witness (Hercule Poirot, #16)",Agatha Christie,"Christie, Agatha",,"=""0007120796""","=""9780007120796""",4,3.88,HarperCollins,Paperback,336,2002,1937,2021/03/19,2021/03/15,"read-classics, year-2021","read-classics (#38), year-2021 (#11)",read,,,,1,,,0,,,,,
18887258,Terra Sonâmbula,Mia Couto,"Couto, Mia",,"=""9722126342""","=""9789722126342""",4,4.05,Editorial Caminho,Paperback,336,2013,1992,2021/03/15,2021/02/12,"read-broad-fiction, year-2021, language-portuguese","read-broad-fiction (#26), year-2021 (#10), language-portuguese (#1)",read,,,,1,,,0,,,,,
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",4,4.36,Avery,Kindle Edition,319,2018,2018,2019/10/27,2019/10/06,"read-culture-nf, year-2019, year-2021","read-culture-nf (#54), year-2019 (#25), year-2021 (#9)",read,,,,3,,,0,,,,,
20887238,"Traitor's Blade (Greatcoats, #1)",Sebastien de Castell,"Castell, Sebastien de",,"=""""","=""""",0,4.05,Jo Fletcher Books,Kindle Edition,325,2014,2014,,2021/03/06,to-read,to-read (#169),to-read,,,,0,,,0,,,,,
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""0143110438""","=""9780143110439""",0,4.33,Penguin Books,Paperback,462,2019,2016,,2021/02/26,to-read,to-read (#168),to-read,,,,0,,,0,,,,,
